group,subject,item,expected
CB,CB_04,29,1
CB,CB_04,30,1
CB,CB_04,31,0
CB,CB_04,32,1
CB,CB_04,33,1
CB,CB_04,34,0
CB,CB_04,35,0
CB,CB_04,36,1
CB,CB_04,37,1
CB,CB_05,1,1
CB,CB_05,2,1
CB,CB_05,4,1
CB,CB_05,5,1
CB,CB_05,6,1
CB,CB_05,7,1
CB,CB_05,8,0
CB,CB_05,9,1
CB,CB_05,10,0
CB,CB_05,11,0
CB,CB_05,12,1
CB,CB_05,13,1
CB,CB_05,14,1
CB,CB_05,15,1
CB,CB_05,16,1
CB,CB_05,17,1
CB,CB_05,18,1
CB,CB_05,19,0
CB,CB_05,20,0
CB,CB_05,21,1
CB,CB_05,22,0
CB,CB_05,23,1
CB,CB_05,24,1
CB,CB_05,25,1
CB,CB_05,26,1
CB,CB_05,27,1
CB,CB_05,28,1
CB,CB_05,29,1
CB,CB_05,30,1
CB,CB_05,31,0
CB,CB_05,32,1
CB,CB_05,33,1
CB,CB_05,34,0
CB,CB_05,35,1
CB,CB_05,36,1
CB,CB_05,37,1
CB,CB_06,1,0
CB,CB_06,2,1
CB,CB_06,4,1
CB,CB_06,5,1
CB,CB_06,6,0
CB,CB_06,7,1
CB,CB_06,8,1
CB,CB_06,9,0
CB,CB_06,10,0
CB,CB_06,11,1
CB,CB_06,12,0
CB,CB_06,13,1
CB,CB_06,14,0
CB,CB_06,15,0
CB,CB_06,16,1
CB,CB_06,17,0
CB,CB_06,18,0
CB,CB_06,19,1
CB,CB_06,20,0
CB,CB_06,21,0
CB,CB_06,22,0
CB,CB_06,23,0
CB,CB_06,24,1
CB,CB_06,25,1
CB,CB_06,26,1
CB,CB_06,27,1
CB,CB_06,28,1
CB,CB_06,29,1
CB,CB_06,30,1
CB,CB_06,31,1
CB,CB_06,32,1
CB,CB_06,33,0
CB,CB_06,34,0
CB,CB_06,35,0
CB,CB_06,36,0
CB,CB_06,37,1
CB,CB_08,1,0
CB,CB_08,2,1
CB,CB_08,3,0
CB,CB_08,4,1
CB,CB_08,5,1
CB,CB_08,6,0
CB,CB_08,7,1
CB,CB_08,8,0
CB,CB_08,9,1
CB,CB_08,10,0
CB,CB_08,11,1
CB,CB_08,12,0
CB,CB_08,13,1
CB,CB_08,14,1
CB,CB_08,15,1
CB,CB_08,16,0
CB,CB_08,17,0
CB,CB_08,18,1
CB,CB_08,19,1
CB,CB_08,20,1
CB,CB_08,21,0
CB,CB_08,22,0
CB,CB_08,23,1
CB,CB_08,24,1
CB,CB_08,25,1
CB,CB_08,26,1
CB,CB_08,27,1
CB,CB_08,28,1
CB,CB_08,29,0
CB,CB_08,30,1
CB,CB_08,31,1
CB,CB_08,32,1
CB,CB_08,33,0
CB,CB_08,34,1
CB,CB_08,35,0
CB,CB_08,36,1
CB,CB_08,37,1
CB,CB_09,1,0
CB,CB_09,2,1
CB,CB_09,3,1
CB,CB_09,4,1
CB,CB_09,5,0
CB,CB_09,6,1
CB,CB_09,7,0
CB,CB_09,8,0
CB,CB_09,9,1
CB,CB_09,10,0
CB,CB_09,11,0
CB,CB_09,12,0
CB,CB_09,13,0
CB,CB_09,14,0
CB,CB_09,15,1
CB,CB_09,16,0
CB,CB_09,17,0
CB,CB_09,18,1
CB,CB_09,19,1
CB,CB_09,20,0
CB,CB_09,21,0
CB,CB_09,22,0
CB,CB_09,23,1
CB,CB_09,24,1
CB,CB_09,25,0
CB,CB_09,26,1
CB,CB_09,27,0
CB,CB_09,28,0
CB,CB_09,29,0
CB,CB_09,30,1
CB,CB_09,31,1
CB,CB_09,32,1
CB,CB_09,33,1
CB,CB_09,34,0
CB,CB_09,35,1
CB,CB_09,36,0
CB,CB_10,2,1
CB,CB_10,3,1
CB,CB_10,4,0
CB,CB_10,5,1
CB,CB_10,6,0
CB,CB_10,7,0
CB,CB_10,8,1
CB,CB_10,9,0
CB,CB_10,10,1
CB,CB_10,11,0
CB,CB_10,12,1
CB,CB_10,13,1
CB,CB_10,14,0
CB,CB_10,15,1
CB,CB_10,16,0
CB,CB_10,17,1
CB,CB_10,18,0
CB,CB_10,19,0
CB,CB_10,20,0
CB,CB_10,21,1
CB,CB_10,22,1
CB,CB_10,23,0
CB,CB_10,24,0
CB,CB_10,25,0
CB,CB_10,26,1
CB,CB_10,27,1
CB,CB_10,28,0
CB,CB_10,29,0
CB,CB_10,30,1
CB,CB_10,31,1
CB,CB_10,32,0
CB,CB_10,33,0
CB,CB_10,34,1
CB,CB_10,35,1
CB,CB_10,36,0
CB,CB_10,37,1
CB,CB_10,37,1
CB,CB_11,1,1
CB,CB_11,2,1
CB,CB_11,4,0
CB,CB_11,5,1
CB,CB_11,6,1
CB,CB_11,7,1
CB,CB_11,8,1
CB,CB_11,9,1
CB,CB_11,10,0
CB,CB_11,11,0
CB,CB_11,12,0
CB,CB_11,13,0
CB,CB_11,14,0
CB,CB_11,15,0
CB,CB_11,16,1
CB,CB_11,17,0
CB,CB_11,18,0
CB,CB_11,19,0
CB,CB_11,20,0
CB,CB_11,21,0
CB,CB_11,22,0
CB,CB_11,23,1
CB,CB_11,24,1
CB,CB_11,25,0
CB,CB_11,26,1
CB,CB_11,27,0
CB,CB_11,28,1
CB,CB_11,29,1
CB,CB_11,30,0
CB,CB_11,31,0
CB,CB_11,32,1
CB,CB_11,33,1
CB,CB_11,34,0
CB,CB_11,35,0
CB,CB_11,36,0
CB,CB_11,37,1
CB,CB_12,1,1
CB,CB_12,2,1
CB,CB_12,4,1
CB,CB_12,5,0
CB,CB_12,6,0
